,지역명,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,서울,42972815.94499999,44096349.723000005,44984456.97099999,47295092.780999996,46902989.30099999,47234102.28,46555105.213999994,45018863.077,45381483.83600001,46493234.0,46298158.0,47810210.0,47167206.322,45787926.023,47295806.687
1,부산,17905735.064999998,18709379.6,18689437.227,20263681.564999998,20561979.486,20664842.324,20364705.164,19980897.831,20002306.757,20467093.0,21007358.0,21216605.0,20802409.777000003,20503969.144,21067833.25
2,대구,12925890.871000001,13265254.169,13133729.058,14479995.552,14821947.713,14954957.987,15080051.882000001,14858786.576000001,14947708.243,15268114.0,15386372.0,15675749.0,15265584.668000001,14758568.46,15443948.851000002
3,인천,19446552.696000002,19915366.034,20032122.294,21827577.132,22241135.729999997,22651946.253,22673441.488,22578048.345,23211766.08,23875857.0,24515313.0,24921926.0,24280689.531999998,23638582.597000003,24901194.390000004
4,광주,6803616.263,7044867.681999999,7169714.965,7860056.930999999,8047388.134999999,8130493.269,8274074.487000001,8197277.0249999985,8333872.511,8558369.0,8683649.0,8773811.0,8603296.997000001,8531108.256000001,8973446.523
5,대전,7823147.339000001,8087633.033000001,8224740.59,8867404.745,9059776.300999999,9160107.084999999,9225139.980999999,9102523.627,9182737.220999999,9379633.0,9423804.0,9648827.0,9415699.359000001,9405220.749,9748620.678
6,울산,22739544.171,24132175.015,24682547.559,26515701.997,28198242.277999997,29362724.219999995,29992968.865,30115123.331,30286139.755,32095217.0,31609850.0,33748169.0,34138998.538,33157834.46,33593122.987
7, 세종,0.0,0.0,0.0,0.0,0.0,578610.118,2345526.777,2437031.0760000004,2641139.384,2801869.0,2918758.0,3087693.0,3226179.08,3393222.5540000005,4295362.685
8,경기,78107275.96399999,81848570.12699999,83743496.971,93074874.56199999,96844503.19500001,100291952.45899999,102227067.384,102180707.443,105048003.086,109403901.0,114847859.0,122695954.0,123022307.212,124688963.67899999,133445948.115
9,강원 ,13567823.503000002,13895753.482,13992115.181,14848026.651999999,15876041.334999999,15904382.141000003,15794740.568,15778144.106,16206617.922,16498768.0,16552836.0,16845836.0,16368274.578000002,16120066.841,16808005.646
10,충북,16678097.808999998,17375035.233,17591645.191,19444835.571,20453357.941,21361911.465000004,21665043.110999998,22179261.836999997,22949032.000000004,24008863.0,24843477.0,26239895.0,26732302.722999997,26901894.48,28402062.631000005
11, 충남 ,28051143.301000003,30427965.654,32115473.447000004,38809311.651,42650111.886,44492412.325,45466812.228,47294960.72299999,47286061.579,48453931.0,50180209.0,52012705.0,52644853.554000005,50422732.36000001,48801625.85
12,전북,15166073.290000003,15927798.569,16684299.469,18949073.366000004,21168359.115000002,21462325.156,21708654.697999995,22297413.145,22086859.798,22733495.0,22799647.0,22961959.0,22280692.538,20538911.573999997,21486860.693
13,전남,20341399.744,21868192.636,23589469.873,25059934.079000004,27136865.112999994,28484718.703999996,30302067.985999998,31722943.181000005,32637829.249999996,33096902.0,33562076.0,34118388.0,32385387.875,30973974.635000005,33486886.159999996
14,경북,36249729.758,37164797.342,37983312.514,41589051.89999999,44167299.669999994,44799524.859,45444246.68799999,46016363.87300001,44956836.139,44647503.0,45455611.0,45958814.0,44314767.42999999,41001626.604,44258296.596999995
15, 경남,26788262.173,28074968.426000006,28393040.531999998,31549221.703999996,33071205.683000002,33014947.413,33530618.951999996,33435156.868999995,33876325.144,34497477.0,34647864.0,35158610.0,34472017.388000004,34069974.24599999,35734059.493999995
16, 제주,3038325.028,3183209.759,3352343.405999999,3574624.4510000004,3710079.721,3864639.1319999993,4094899.709,4220090.218999999,4429553.217999999,4738201.0,5013545.0,5272604.0,5374284.620999999,5373287.635,5687729.620999999
